Brand_name,Price,Discount_item_clean,Discounted_Price_clean,Ratings_clean,Shades_clean
Anastasia Beverly,,,3200,18.0,3.0
Charmacy Milano,,,749,29.0,6.0
Daily Life,,,399,522.0,20.0
Lakme Unreal,899.0,15.0,764,4182.0,16.0
Bella Vita,275.0,42.0,160,108.0,10.0
Nudestix Intense,,,2850,229.0,10.0
PAC Retro,,,225,6542.0,16.0
Insight Cosmetics,,,240,5430.0,22.0
Princess By,950.0,16.0,799,753.0,
Too Faced,,,2550,184.0,8.0
Matt look,,,65,1441.0,21.0
Makeup Revolution,750.0,10.0,675,705.0,14.0
Faces Canada,849.0,40.0,509,10507.0,6.0
LoveChild Masaba,1200.0,15.0,1020,77.0,6.0
Benefit Cosmetics,,,3450,4416.0,1.0
Miss Claire,395.0,20.0,316,8394.0,12.0
Plum Matterrific,499.0,15.0,424,3088.0,3.0
Nykaa Matte,899.0,35.0,584,854.0,9.0
Blue Heaven,500.0,25.0,375,446.0,3.0
Guerlain Rouge,,,4100,14.0,24.0
Renee Cosmetics,350.0,17.0,289,9744.0,8.0
Blue Heaven,299.0,20.0,239,4142.0,5.0
Kay Beauty,899.0,10.0,809,4999.0,
e.l.f. Cosmetics,900.0,10.0,810,126.0,4.0
Nykaa Cosmetics,325.0,35.0,211,14283.0,1.0
Lakme Rouge,,,1199,208.0,16.0
Renee Cosmetics,750.0,30.0,525,9204.0,
LoveChild Masaba,1200.0,20.0,960,2.0,5.0
PAC Studio,,,1399,648.0,
Armani Prisma,,,3900,,6.0
Insight Cosmetics,945.0,22.0,737,266.0,
Huda Beauty,,,2350,568.0,5.0
MARS Colour,229.0,9.0,208,1155.0,
Lakme Absolute,700.0,20.0,560,2229.0,10.0
IBA Maxx,450.0,25.0,338,2680.0,11.0
Colorbar Take,499.0,10.0,449,1092.0,9.0
MARS Plumping,249.0,4.0,239,16.0,2.0
Yves Saint,,,4000,39.0,10.0
,329.0,30.0,230,249.0,8.0
Clarins Lip,,,2200,12.0,6.0
Blue Heaven,349.0,10.0,314,16.0,3.0
Renee Cosmetics,450.0,16.0,379,144.0,
Renee Cosmetics,249.0,20.0,199,43.0,7.0
FENTY BEAUTY,3000.0,30.0,2100,28.0,3.0
Faces Canada,549.0,35.0,359,885.0,6.0
ColourPop Lippie,749.0,50.0,375,191.0,10.0
Simply Nam,999.0,15.0,849,9.0,3.0
Kay Beauty,999.0,15.0,849,78.0,2.0
Mila Beaut,229.0,15.0,195,104.0,10.0
